,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean
40,CLO:0026250 ATAC-seq,.,ATAC-seq,CLO:0026250,GM18867,cell_line,adult,encode,paired,False,1.0017602443695068
41,CLO:0026253 ATAC-seq,.,ATAC-seq,CLO:0026253,GM18868,cell_line,adult,encode,paired,False,1.1957333087921143
42,CLO:0026256 ATAC-seq,.,ATAC-seq,CLO:0026256,GM18861,cell_line,adult,encode,paired,False,1.6442385911941528
43,CLO:0026258 ATAC-seq,.,ATAC-seq,CLO:0026258,GM18858,cell_line,adult,encode,paired,False,2.154571056365967
44,CLO:0026782 ATAC-seq,.,ATAC-seq,CLO:0026782,GM19397,cell_line,adult,encode,paired,False,1.8430635929107666
45,CLO:0026790 ATAC-seq,.,ATAC-seq,CLO:0026790,GM19395,cell_line,adult,encode,paired,False,1.3690444231033325
46,CLO:0026824 ATAC-seq,.,ATAC-seq,CLO:0026824,GM19438,cell_line,adult,encode,paired,False,2.8961288928985596
47,CLO:0026846 ATAC-seq,.,ATAC-seq,CLO:0026846,GM19452,cell_line,adult,encode,paired,False,2.1193931102752686
48,CLO:0026863 ATAC-seq,.,ATAC-seq,CLO:0026863,GM19455,cell_line,adult,encode,paired,False,2.0495858192443848
49,CLO:0026874 ATAC-seq,.,ATAC-seq,CLO:0026874,GM19463,cell_line,adult,encode,paired,False,2.3056650161743164
50,CLO:0026877 ATAC-seq,.,ATAC-seq,CLO:0026877,GM19467,cell_line,adult,encode,paired,False,1.7229173183441162
51,CLO:0027429 ATAC-seq,.,ATAC-seq,CLO:0027429,GM19372,cell_line,adult,encode,paired,False,2.746520519256592
52,CLO:0027432 ATAC-seq,.,ATAC-seq,CLO:0027432,GM19351,cell_line,adult,encode,paired,False,1.6009893417358398
53,CLO:0027443 ATAC-seq,.,ATAC-seq,CLO:0027443,GM19324,cell_line,adult,encode,paired,False,1.1978780031204224
54,CLO:0027445 ATAC-seq,.,ATAC-seq,CLO:0027445,GM19328,cell_line,adult,encode,paired,False,2.474120855331421
55,EFO:0001086 ATAC-seq,.,ATAC-seq,EFO:0001086,A549,cell_line,adult,encode,single,False,1.4976966381072998
56,EFO:0001187 ATAC-seq,.,ATAC-seq,EFO:0001187,HepG2,cell_line,child,encode,paired,False,0.3457242250442505
57,EFO:0001196 ATAC-seq,.,ATAC-seq,EFO:0001196,IMR-90,cell_line,embryonic,encode,paired,False,1.5381346940994263
58,EFO:0001203 ATAC-seq,.,ATAC-seq,EFO:0001203,MCF-7,cell_line,adult,encode,paired,False,1.545133113861084
59,EFO:0001221 ATAC-seq,.,ATAC-seq,EFO:0001221,NCI-H929,cell_line,adult,encode,paired,False,0.8327634930610657
60,EFO:0002067 ATAC-seq,.,ATAC-seq,EFO:0002067,K562,cell_line,adult,encode,paired,False,0.3458327054977417
61,EFO:0002074 ATAC-seq,.,ATAC-seq,EFO:0002074,PC-3,cell_line,adult,encode,paired,False,1.5142802000045776
62,EFO:0002713 ATAC-seq,.,ATAC-seq,EFO:0002713,Panc1,cell_line,adult,encode,paired,False,1.317395806312561
63,EFO:0002784 ATAC-seq,.,ATAC-seq,EFO:0002784,GM12878,cell_line,adult,encode,paired,False,0.37652507424354553
64,EFO:0002824 ATAC-seq,.,ATAC-seq,EFO:0002824,HCT116,cell_line,adult,encode,paired,False,1.5315731763839722
65,EFO:0005332 ATAC-seq,.,ATAC-seq,EFO:0005332,GM18505,cell_line,adult,encode,paired,False,1.7733904123306274
66,EFO:0007074 ATAC-seq,.,ATAC-seq,EFO:0007074,DND-41,cell_line,child,encode,paired,False,1.5603737831115723
67,EFO:0007610 ATAC-seq,.,ATAC-seq,EFO:0007610,RWPE2,cell_line,unknown,encode,paired,False,1.0684702396392822
68,EFO:0007950 ATAC-seq,.,ATAC-seq,EFO:0007950,GM23338,cell_line,adult,encode,paired,False,0.39514708518981934
69,EFO:0009747 ATAC-seq,.,ATAC-seq,EFO:0009747,WTC11,cell_line,adult,encode,paired,False,1.1249884366989136
70,EFO:0010835 ATAC-seq,.,ATAC-seq,EFO:0010835,GM19023,cell_line,adult,encode,paired,False,2.2722747325897217
71,EFO:0010836 ATAC-seq,.,ATAC-seq,EFO:0010836,GM19025,cell_line,adult,encode,paired,False,2.6639323234558105
72,EFO:0010837 ATAC-seq,.,ATAC-seq,EFO:0010837,GM19043,cell_line,adult,encode,paired,False,2.891838312149048
73,EFO:0010838 ATAC-seq,.,ATAC-seq,EFO:0010838,GM21515,cell_line,adult,encode,paired,False,1.4099575281143188
74,EFO:0010839 ATAC-seq,.,ATAC-seq,EFO:0010839,GM21737,cell_line,adult,encode,paired,False,1.7709256410598755
75,EFO:0010840 ATAC-seq,.,ATAC-seq,EFO:0010840,GM21786,cell_line,adult,encode,paired,False,2.0250661373138428
76,EFO:0010841 ATAC-seq,.,ATAC-seq,EFO:0010841,HG02571,cell_line,adult,encode,paired,False,2.0339393615722656
77,EFO:0010842 ATAC-seq,.,ATAC-seq,EFO:0010842,HG02588,cell_line,adult,encode,paired,False,1.6361886262893677
78,EFO:0010843 ATAC-seq,.,ATAC-seq,EFO:0010843,HG02610,cell_line,adult,encode,paired,False,1.073131799697876
79,EFO:0010844 ATAC-seq,.,ATAC-seq,EFO:0010844,HG02623,cell_line,adult,encode,paired,False,2.20443058013916
80,EFO:0010846 ATAC-seq,.,ATAC-seq,EFO:0010846,HG02678,cell_line,adult,encode,paired,False,1.3135043382644653
81,EFO:0010847 ATAC-seq,.,ATAC-seq,EFO:0010847,HG02759,cell_line,adult,encode,paired,False,1.389145851135254
82,EFO:0010848 ATAC-seq,.,ATAC-seq,EFO:0010848,HG02763,cell_line,adult,encode,paired,False,1.718657374382019
83,EFO:0010850 ATAC-seq,.,ATAC-seq,EFO:0010850,HG02840,cell_line,adult,encode,paired,False,1.8972817659378052
84,EFO:0010851 ATAC-seq,.,ATAC-seq,EFO:0010851,HG02852,cell_line,adult,encode,paired,False,1.8264821767807007
85,EFO:0010852 ATAC-seq,.,ATAC-seq,EFO:0010852,HG02870,cell_line,adult,encode,paired,False,1.808053970336914
86,EFO:0010853 ATAC-seq,.,ATAC-seq,EFO:0010853,HG02884,cell_line,adult,encode,paired,False,2.4083950519561768
87,EFO:0010855 ATAC-seq,.,ATAC-seq,EFO:0010855,HG02938,cell_line,adult,encode,paired,False,2.012936592102051
88,EFO:0010856 ATAC-seq,.,ATAC-seq,EFO:0010856,HG02943,cell_line,adult,encode,paired,False,2.342193603515625
89,EFO:0010857 ATAC-seq,.,ATAC-seq,EFO:0010857,HG02970,cell_line,adult,encode,paired,False,1.6933996677398682
90,EFO:0010858 ATAC-seq,.,ATAC-seq,EFO:0010858,HG02973,cell_line,adult,encode,paired,False,1.6970741748809814
91,EFO:0010859 ATAC-seq,.,ATAC-seq,EFO:0010859,HG02981,cell_line,adult,encode,paired,False,1.7394976615905762
92,EFO:0010860 ATAC-seq,.,ATAC-seq,EFO:0010860,HG03025,cell_line,adult,encode,paired,False,2.08929181098938
